"10,000 maniacs",candy everybody wants
"10,000 maniacs",these are days
"nicole featuring missy ""misdemeanor"" elliott & mocha",make it hot
2pac featuring k-ci and jojo,how do u want it/california love
311,transistor
311,down
4pm,sukiyaki
69 boyz,tootsee roll
702,where my girls at?
98 degrees,because of you
ac/dc,cover you in oil
ac/dc,dirty eyes
ac/dc,money talks
ac/dc,moneytalks
ac/dc,thunderstruck
aerosmith,amazing
aerosmith,eat the rich
aerosmith,fever
aerosmith,taste of india
aerosmith,what kind of love are you on
alanis morissette,all i really want
alanis morissette,joining you
alice in chains,fear the voices
alice in chains,i stay away
alice in chains,get born again
alice in chains,got me wrong
alice in chains,heaven beside you
alice in chains,over now
an emotional fish,celebrate
annie lennox,no more i love you's
arc angel,too many ways to fall
arc angels,living in a dream
arc angels,sent by angels
arc angels,too many ways to fall
athenaeum,what i didn't know
aztec camera,the crying scene
bad company,"hey, hey"
bad company,boys cry tough
bad company,if you needed somebody
bad religion,21st century (digital boy)
barenaked ladies,it's all been done
beastie boys,intergalactic
beck,deadweight
ben folds five,brick
better than ezra,at the stars
better than ezra,desperately wanting
better than ezra,in the blood
better than ezra,king of new orleans
big audio dynamite ii,the globe
big audio dynamite,rush
big head todd & the monsters,resignation superman
big wreck,the oaf
billy squier,she goes down
björk,big time sensuality
black lab,wash it away
black sabbath,selling my soul
blind melon,tones of home
blink-182,what's my age again?
blondie,maria
blues traveler,carolina blues
bob seger & the silver bullet band,the fire inside
bob seger,the real love
brother cane,hard act to follow
brother cane,machete
brother cane,that don't satisfy me
bruce hornsby and the range,a night on the town
bruce springsteen,57 channels (and nothin' on)
bruce springsteen,murder incorporated
bruce springsteen,roll of the dice
bryan adams,there will never be another tonight
buffalo tom,sodajerk
bush,everything zen
bush,greedy fly
bush,little things
cake,sheep go to heaven
cake,the distance
candlebox,"10,000 horses"
candlebox,far behind
candlebox,happy pills
candlebox,it's alright
candlebox,you
catherine wheel,crank
chalk farm,lie on lie
chapterhouse,pearl
chris cornell,can't change me
chris isaak,can't do a thing (to stop me)
cinderella,shelter me
citizen king,better days (and the bottom drops out)
class of '99,another brick in the wall (part 2)
cocteau twins,iceblink luck
collective soul,blame
collective soul,breathe
collective soul,gel
collective soul,she said
collective soul,smashing young man
cornershop,brimful of asha
counting crows,a long december
counting crows,angels of the silences
counting crows,mr. jones
coverdale·page,pride and joy
coverdale·page,shake my tree
cowboy junkies,sweet jane (1994 version)
cracker,i hate my generation
cracker,low
creed,my own prison
creed,one
crowded house,it's only natural
crowded house,locked out
cry of love,bad thing
dlr band,slam dunk
damn yankees,come again
damn yankees,don't tread on me
damn yankees,mister please
dandelion,weird-out
daniel ash,get out of control
danielle dax,tomorrow never knows
dave matthews band,crash into me
dave matthews band,crush
dave matthews band,don't drink the water
dave matthews band,too much
dave matthews band,what would you say
david byrne,she's mad
david lee roth,sensible shoes
days of the new,enemy
days of the new,shelf in the room
dead can dance,the ubiquitous mr lovegrove
deep purple,king of dreams
def leppard,paper sun
def leppard,work it out
del amitri,roll to me
depeche mode,it's no good
don henley,the heart of the matter
dovetail joint,level on the inside
dr. alban,it's my life
dramarama,haven't got a clue
econoline crush,surefire (never enough)
eddie money,heaven in the back seat
eddie money,peace in our time
eddie money,she takes my breath away
elastica,connection
elastica,stutter
electronic,getting away with it
electronic,tighten up
elton john,believe
elvis costello,13 steps lead down
enigma,sadeness (part 1)
enigma,sadeness (part i)
enya,caribbean blue
erasure,chorus (fishes in the sea)
eric clapton,help me up
eric clapton,i'm tore down
eric clapton,no alibis
eric clapton,stone free
eric johnson,cliffs of dover
eric johnson,trademark
eve 6,leech
everclear,father of mine
everclear,heartspark dollarsign
everclear,i will buy you a new life
everclear,one hit wonder
everclear,santa monica (watch the world die)
everlast,ends
everything,hooch
faith no more,last cup of sorrow
fatboy slim,praise you
filter,hey man nice shot
filter,take a picture
fiona apple,criminal
fiona apple,fast as you can
fishbone,sunless saturday
folk implosion,natural one
foo fighters,big me
foo fighters,this is a call
foo fighters,walking after you
for squirrels,mighty k.c.
foreigner,lowdown and dirty
foreigner,soul doctor
fountains of wayne,radiation vibe
frank black,headache
frank black,los angeles
frente!,bizarre love triangle
frente!,labour of love
fuel,bittersweet
fuel,shimmer
fun lovin' criminals,scooby snacks
garbage,special
garth brooks,lost in you
gary hoey,hocus pocus
genesis,i can't dance
genesis,no son of mine
george michael & queen,somebody to love
george thorogood & the destroyers,if you don't start drinkin' (i'm gonna leave)
gin blossoms,til i hear it from you
gin blossoms,until i fall away
god lives underwater,from your mouth
godsmack,keep away
godsmack,voodoo
godsmack,whatever
goldfinger,this lonely place
goo goo dolls,naked
goo goo dolls,we are the normal
grant lee buffalo,"truly, truly"
great white,call it rock n' roll
great white,sail away
green day,brain stew/jaded
green day,geek stink breath
green day,hitchin' a ride
green day,j.a.r. (jason andrew relva)
green day,redundant
guns n' roses,hair of the dog
guns n' roses,you could be mine
hanson,i will come to you
happyhead,fabulous
harvey danger,flagpole sitta
havana 3 a.m.,reach the rock
heart,black on black ii
heather nova,walk this world
hole,awful
hole,malibu
hoodoo gurus,miss freelove '69
hootie & the blowfish,hey hey what can i do
hootie & the blowfish,let her cry
hunters & collectors,when the river runs dry
inxs,bitter tears
inxs,disappear
inxs,heaven sent
inxs,not enough time
inxs,taste it
ian mcculloch,honeydrip
incubus,pardon me
inspiral carpets,two worlds collide
izzy stradlin and the ju ju hounds,shuffle it all
jackyl,push comes to shove
james,laid
jeff healey band,i think i love you too much
jerry cantrell,leave me alone
jesus jones,"real, real, real"
jimmie's chicken shack,do right
jimmy page & robert plant,shining in the light
jimmy page & robert plant,thank you
joe cocker,love is alive
joe jackson,obvious song
joe satriani,summer song
joe walsh,ordinary average guy
john fogerty,walking in a hurricane
john mellencamp,human wheels
john mellencamp,just another day
john mellencamp,love and happiness
john mellencamp,your life is now
jonny lang,lie to me
joydrop,beautiful
jude cole,start the car
julian cope,beautiful love
k's choice,not an addict
kiss,jungle
kiss,rock and roll all nite
kate bush,the sensual man
keith richards,wicked as it seems
kenny wayne shepherd band,everything is broken
kenny wayne shepherd,blue on black
kenny wayne shepherd,born with a broken heart
kenny wayne shepherd,deja voodoo
kenny wayne shepherd,slow ride
king's x,its love
korn,falling away from me
led zeppelin,baby come on home
len,steal my sunshine
lenny kravitz,american woman
lenny kravitz,rock and roll is dead
letters to cleo,here & now
limp bizkit,nookie
lit,miserable
live,"white, discussion"
live,all over you
live,the dolphin's cry
live,turn my head
lloyd cole,downtown
lloyd cole,she's a girl and i'm a man
lloyd cole,tell your sister
lo fidelity allstars (featuring pigeonhed),battle flag
lo fidelity allstars,battle flag
local h,bound for the floor
loreena mckennitt,the mummer's dance
loudmouth,fly
love and rockets,sweet lover hangover
lush,sweetness and light
lynyrd skynyrd,good lovin's hard to find
lynyrd skynyrd,workin'
mad season,river of deceit
madonna,ray of light
madonna,the power of good-bye
marvelous 3,freak of the week
masters of reality,she got me (when she got her dress on)
matchbox 20,3:00 am
matchbox 20,long day
matchbox 20,push
material issue,diane
material issue,valerie loves me
material issue,what girls want
matthew sweet,sick of myself
mcauley schenker group,anytime
meat loaf,i'd lie for you (and that's the truth)
meat puppets,backwater
megadeth,almost honest
megadeth,breadline
megadeth,use the man
meredith brooks,bi**h
metallica,ain't my bi**h
metallica,better than you
metallica,fuel
metallica,no leaf clover
metallica,the memory remains
metallica,the unforgiven
